date,key,new_hospitalized,total_hospitalized,new_intensive_care,total_intensive_care,new_ventilator,total_ventilator
2021-01-22 00:00:00,CH_LU,1,83,0,,-2,12
2021-01-08 00:00:00,CH_NE,-5,36,-1,5,0,3
2020-06-12 00:00:00,CH_VS,0,15,0,3,-1,0
2020-09-26 00:00:00,US_AL,0,16852,9,1791,7,1007
2020-04-17 00:00:00,CH_TI,5,254,-2,57,-5,44
2021-01-30 00:00:00,US_AL,376,41859,0,2539,0,1452
2020-05-01 00:00:00,CH_GE,-7,227,-1,18,-1,17
2020-12-22 00:00:00,CH_BL,1,68,0,5,0,2
2020-05-26 00:00:00,US_AR,12,617,0,,3,114
2020-12-22 00:00:00,US_AR,81,10651,0,,5,1147
2020-11-13 00:00:00,CH_BE,-8,402,-3,54,1,45
2020-10-19 00:00:00,CH_NE,3,27,1,3,0,1
2020-05-03 00:00:00,US_AR,13,427,0,,3,88
2020-11-17 00:00:00,US_KS,0,4431,0,1205,0,355
2020-08-25 00:00:00,CH_ZH,-6,16,0,9,0,5
2020-10-02 00:00:00,CH_BL,0,0,0,0,0,0
2020-04-18 00:00:00,CH_GE,-12,295,-5,34,0,33
2020-06-22 00:00:00,CH_GR,1,1,0,0,0,0
2020-10-10 00:00:00,CH_NE,-2,10,-2,0,-1,0
2020-12-17 00:00:00,US_KS,0,6050,0,1628,0,409
2020-10-20 00:00:00,CH_TI,1,31,1,2,0,1
2020-08-18 00:00:00,US_KS,0,2034,0,560,0,200
2020-04-19 00:00:00,CH_ZH,2,116,0,0,-1,43
2020-10-05 00:00:00,CH_SG,2,9,1,3,0,2
2020-07-14 00:00:00,US_KS,0,1343,0,410,0,160
2020-09-20 00:00:00,US_UT,17,3494,3,853,1,350
2020-09-23 00:00:00,CH_LU,0,7,0,0,0,0
2020-06-18 00:00:00,CH_BL,0,0,0,0,0,0
2020-09-18 00:00:00,US_AR,36,4932,0,,5,624
2020-09-06 00:00:00,CH_BL,0,0,0,0,0,0
2020-10-29 00:00:00,US_AR,47,6967,0,,4,829
2020-10-11 00:00:00,CH_ZH,8,50,1,7,0,4
2020-12-20 00:00:00,CH_BL,7,69,1,5,0,2
2020-10-12 00:00:00,CH_BL,0,3,0,0,0,0
2020-07-17 00:00:00,CH_LU,1,7,0,4,0,4
2020-07-13 00:00:00,CH_BE,-1,4,1,2,-1,0
2020-09-07 00:00:00,CH_BL,0,0,0,0,0,0
2020-07-31 00:00:00,US_KS,51,1751,11,494,5,179
2020-11-10 00:00:00,US_AL,592,21886,6,2128,5,1231
2020-08-08 00:00:00,CH_GR,0,1,0,0,0,0
2020-11-17 00:00:00,CH_TI,12,361,-1,31,0,21
2020-02-28 00:00:00,CH_GE,1,2,0,0,0,0
2020-06-10 00:00:00,CH_ZH,1,7,0,0,0,0
2020-07-07 00:00:00,US_AL,47,2961,15,858,6,479
2020-05-02 00:00:00,CH_TI,-8,134,-2,23,-4,16
2020-06-08 00:00:00,US_AR,0,844,0,,0,143
2020-04-18 00:00:00,CH_LU,-2,21,1,4,0,4
2020-05-13 00:00:00,CH_LU,0,12,-1,4,0,4
2020-05-25 00:00:00,US_KS,13,800,2,271,0,120
2020-07-30 00:00:00,CH_GR,0,1,0,0,0,0
2020-07-20 00:00:00,CH_ZH,5,29,-1,6,-2,4
2020-09-09 00:00:00,CH_BL,0,0,0,0,0,0
2020-10-26 00:00:00,US_AR,50,6768,0,,4,812
2020-09-20 00:00:00,US_AL,0,16227,1,1643,0,904
2020-08-12 00:00:00,US_AL,222,12292,12,1282,9,700
2020-03-22 00:00:00,CH_ZH,27,110,0,0,-1,22
2020-09-08 00:00:00,US_AL,223,15137,1,1538,0,848
2020-07-06 00:00:00,CH_LU,1,6,0,2,0,2
2020-04-03 00:00:00,CH_BL,1,82,0,18,0,18
2020-05-17 00:00:00,US_UT,8,586,2,196,0,84
2020-04-20 00:00:00,CH_ZH,5,121,0,0,0,43
2020-07-03 00:00:00,US_KS,24,1219,10,377,4,156
2021-01-18 00:00:00,CH_BL,5,29,0,5,0,5
2020-07-05 00:00:00,CH_NE,0,2,0,0,0,0
2020-07-11 00:00:00,CH_VS,0,9,0,2,0,0
2020-06-11 00:00:00,CH_AG,0,2,0,1,0,1
2020-04-07 00:00:00,CH_GE,-3,391,-5,51,-2,48
2020-12-30 00:00:00,CH_BL,-11,67,0,8,1,8
2020-08-26 00:00:00,US_UT,27,2996,7,760,2,308
2020-03-09 00:00:00,CH_GR,0,0,0,0,0,0
2020-10-25 00:00:00,CH_VS,1,152,2,11,-1,2
2020-10-30 00:00:00,US_KS,80,3832,24,1067,5,323
2020-10-05 00:00:00,CH_ZH,-1,31,0,8,-1,7
2020-08-13 00:00:00,CH_ZH,0,27,1,6,1,6
2020-05-24 00:00:00,US_KS,0,787,0,269,0,120
2020-07-07 00:00:00,US_UT,49,1653,17,455,6,200
2020-07-28 00:00:00,US_AR,62,2686,0,,8,377
2020-12-16 00:00:00,US_KS,155,6050,44,1628,0,409
2020-07-15 00:00:00,CH_NE,-1,1,0,0,0,0
2020-05-31 00:00:00,CH_GR,0,2,0,1,0,1
2020-11-03 00:00:00,CH_GR,-1,37,0,9,0,8
2021-01-27 00:00:00,US_UT,80,13217,8,2082,3,719
2020-06-17 00:00:00,CH_NE,0,2,0,0,0,0
2020-07-22 00:00:00,US_AL,0,8538,9,1018,5,540
2020-06-08 00:00:00,CH_GR,-1,0,-1,0,-1,0
2020-05-22 00:00:00,CH_BE,-4,20,0,3,0,3
2020-05-01 00:00:00,CH_BE,1,40,0,9,-2,7
2020-04-19 00:00:00,CH_TI,-7,237,-2,54,0,42
2020-08-04 00:00:00,US_UT,32,2482,10,640,4,261
2020-12-17 00:00:00,CH_VS,-11,92,-1,17,-4,10
2021-01-13 00:00:00,CH_BE,-16,241,-1,41,-3,33
2020-08-10 00:00:00,US_AR,52,3336,0,,6,443
2020-09-17 00:00:00,US_AR,56,4896,0,,3,619
2020-04-27 00:00:00,CH_AG,2,42,1,15,0,14
2020-08-15 00:00:00,CH_VS,0,11,0,1,0,1
2020-05-04 00:00:00,CH_GR,-2,16,-1,5,-1,5
2020-06-15 00:00:00,CH_BL,0,0,0,0,0,0
2020-11-28 00:00:00,US_UT,81,8029,12,1470,1,533
2020-03-22 00:00:00,CH_VS,9,92,3,11,1,7
2020-05-06 00:00:00,CH_ZH,-1,53,-2,14,-2,7
2020-07-09 00:00:00,US_KS,0,1269,0,397,0,160
2020-09-29 00:00:00,US_UT,50,3807,13,908,1,362
2020-10-28 00:00:00,US_AR,79,6920,0,,6,825
2021-01-04 00:00:00,CH_VS,7,84,-2,10,-2,6
2020-12-20 00:00:00,CH_TI,2,347,1,43,1,38
2020-06-24 00:00:00,CH_BE,-1,1,0,0,0,0
2020-05-12 00:00:00,CH_BL,0,3,0,1,0,1
2020-11-29 00:00:00,US_AR,24,8843,0,,4,975
2020-08-08 00:00:00,US_UT,26,2604,10,667,3,272
2020-05-13 00:00:00,CH_VS,-3,31,0,8,-2,5
